references,ss_code,course_subject,sessions,course_number,year_offered,evaluation,start_date,course_title,format,course_objective,textbooks,instructor,compulsory,course_outline,term,room,prerequisites,offered_this_year,notes,other_instructors,day_and_time,credit,open_to,sheetno,sheetname
,cl114,Specialized Courses,"<tr><td><div>1</div></td><td><div>

Understanding Context 1: Introduction

</div></td></tr>

<tr><td><div>2</div></td><td><div>

Understanding Context 2

</div></td></tr>

<tr><td><div>3</div></td><td><div>

Understanding Context 3

</div></td></tr>

<tr><td><div>4</div></td><td><div>

understanding Issues 1

</div></td></tr>

<tr><td><div>5</div></td><td><div>

Understanding Issues 2

</div></td></tr>

<tr><td><div>6</div></td><td><div>

Understanding Policies

</div></td></tr>

<tr><td><div>7</div></td><td><div>

Understanding Policies 2

</div></td></tr>",604,,"<p>Evaluation of term paper: 30%</p>
<p>Class contributions: 70%</p>",,Comparative Politics Workshop,Lecture,"<p>Students will acquire the following skills:</p>
<ol>
<li>
<p>To analyse their own political situations.</p>
</li>
<li>
<p>To be professionally open about the issues and problems of their target countries.</p>
</li>
<li>
<p>To offer constructive solutions for the target countries.</p>
</li>
</ol>",There is no assigned textbook for this class. Handouts and reading materials will be distributed at the guidance and in every class.,K Ono,Yes,"This course builds upon the knowledge acquired in political science for undergraduates, and it focuses on comparative perspective and critical thinking skills for making policies. Regular reading assignments will be given, and members of the class will take an active role in discussing the issues.  There will also be supplementary sessions on international political economy by Prof. Westra to understand the context of contemporary domesticpolitics. A short final essay will test basic knowledge and skils acquired during the course, but our most important work will be done in class discussions.",Fall,seminar room 906,,,,R Westra,From October 15 every other Tuesdays 13:00 - 16:15,2,M1,0,Courses
"<p>-Fenton, Howard N. 2000. ""Administrative Law Reform in the Former Soviet Union,"" The Journal of East European Law 7:47.</p>
<p>-Russell-Einhorn, M., J. Lubbers, and V. Milor. 2002. ""Strengthening Access to Information and Public Participation in Transition Countries- Latvia as a Case Study in Administrative Law Reform,"" Administrative Law Review 54(1):459.</p>
<p>-Russell-Einhorn, M. and H. Fenton. 2008. Using Administrative Law Tools and Concepts to strengthen USAID Programming- A Guide for USAID Democracy and Governmental Officers. USAID.</p>
<p>-Tamanaha, Brian Z. 2011. ""The Primacy of Society and the Failures of Law and Development,"" Cornell International Law Journal 209:44.</p>
<p>-Tamanaha, Brian Z. 2011. ""The Rule of Law and Legal Pluralism Development,"" Legal Studies Research Paper Series, Paper No. 11-07-01.</p>",cl191,Legal Transplantation,"<tr><td><div>1</div></td><td><div>

Introduction

</div></td></tr>

<tr><td><div>2</div></td><td><div>

Legal Assistance in Administrative Law �

</div></td></tr>

<tr><td><div>3</div></td><td><div>

Legal Assistance in Administrative Law �

</div></td></tr>

<tr><td><div>4</div></td><td><div>

Meta-Theory of Administrative Law Assistance �

</div></td></tr>

<tr><td><div>5</div></td><td><div>

Meta-Theory of Administrative Law Assistance �

</div></td></tr>

<tr><td><div>6</div></td><td><div>

Administrative Law Reform in the Former Soviet Republics

</div></td></tr>

<tr><td><div>7</div></td><td><div>

TBC

</div></td></tr>

<tr><td><div>8</div></td><td><div>

TBC

</div></td></tr>

<tr><td><div>9</div></td><td><div>

TBC

</div></td></tr>

<tr><td><div>10</div></td><td><div>

TBC

</div></td></tr>

<tr><td><div>11</div></td><td><div>

TBC

</div></td></tr>

<tr><td><div>12</div></td><td><div>

TBC

</div></td></tr>

<tr><td><div>13</div></td><td><div>

TBC

</div></td></tr>

<tr><td><div>14</div></td><td><div>

TBC

</div></td></tr>

<tr><td><div>15</div></td><td><div>

Wrap Up

</div></td></tr>",605,,"<p>Participation and Class Contribution: 30%</p>
<p>Written Report: 70%</p>",,Legal Transplantation,lecture,"<p>Students will be necessary to learn the key view points on the Admnistrative Law assistance as follow:</p>
<p>� Importance of the ""process""</p>
<p>� Importance of ""institution""</p>
<p>� Importance of ""comparisons"" </p>
<p>� Importance of ""history"" </p>
<p>� Importance of the mechanism of institutional change</p>",None,K Ichihashi,Yes,"<p>It has been six years since Uzbek government forces killed hundreds of</p>
<p>unarmed protesters in the eastern city of Andijan on May 13, 2005, following prison attacks by armed men.</p>
<p>Divergent views persist today with regard to this Andijan tragedy in the</p>
<p>context of human rights and democracy.</p>
<p>The position taken by the Uzbek government, supported by Russia, China and countries in Central Asia, places the blame on the terrorists. It claims that the armed group belonged to the terrorists group known as Akramia - a faction of the illegal Hizb-ut-Tahri (an Islam fundamentalist Party), which sought to establish an Islamic State refusing to accept human rights and democracy. They attacked the prison and used citizens as human shield while attempting to withdraw. That was how the gun battle started and they should be held responsible for the deaths. Uzbekistan has no choice but to respond to ""violence"" by the Islamic fundamentalists, who reject human rights and democracy, with equal ""violence"". The argument states that, for a premature secular state that had gained independence for merely 20 years, any response to ""violence"" by means of respects for human rights and democracy would lead to the demise of the State and therefore the ends of human rights and democracy. (Cry like a wolf when living with the wolf).</p>
<p>Against this first view, countries in the West and international human</p>
<p>rights NGOs come up with their critical arguments that human rights have</p>
<p>been violated in Uzbekistan under the pretext of fighting terrorism led by</p>
<p>the Islamic fundamentalists. Even a young independent State of 20 years old</p>
<p>has the duty to respect human rights and democracy. Notwithstanding the</p>
<p>future goal of human rights and democracy, ""violence"" in response to</p>
<p>""violence"" will create a vicious circle of violence and hatred. The future goal will never be achievable.</p>
<p>Six years after the Andijan tragedy, this criticism against Uzbekistan has not changed. For example, the Human Rights Watch includes the following</p>
<p>wordings in its 2012 World Report: Uzbekistan's human rights record remains appalling, with no meaningful improvements in 2011. Torture remains endemic in the criminal justice system. Authorities continue to target civil society activists, opposition members, and journalists, and to persecute religious believers who worship outside strict state controls.</p>
<p>What should be the appropriate way for Uzbekistan, a State in the process</p>
<p>of building and the front line of the war against terror, to develop its own goals of human rights and democracy? How should legal assistance proceed to promote the development of human rights and democracy in this country? This paper reviews some lessons learned from the JICA's experience of legal assistance (assistance in drafting the law on administrative procedure) in Uzbekistan and raises some issues which may be useful for the development of comparative studies in administrative law.</p>",Spring,Leading satellite room,None,,,,Fri 16:30-18:00,2,M1,0,Courses
,cl192,Joint Research Workshop I,"<tr><td><div>1</div></td><td><div>

April 16 Orientation Rm 905

</div></td></tr>

<tr><td><div>2</div></td><td><div>

May 7 Workshop 1

</div></td></tr>

<tr><td><div>3</div></td><td><div>

May 28 Workshop 2

</div></td></tr>

<tr><td><div>4</div></td><td><div>

June 18 Workshop 3

</div></td></tr>

<tr><td><div>5</div></td><td><div>

July 9 Workshop 4

</div></td></tr>

<tr><td><div>6</div></td><td><div>

July 30 Workshop 5

</div></td></tr>

<tr><td><div>7</div></td><td><div>

Sept.3 or 10 Workshop 6

</div></td></tr>

<tr><td><div>8</div></td><td><div>

Sept. 24 Workshop 7

</div></td></tr>

<tr><td><div>9</div></td><td><div>

For the Record

</div></td></tr>",606,,,,Joint Research Workshop I,Seminar,,,K Ono,Yes,,Spring,Leading satellite room,,,,"Y Matsuura, D Yokomizo, G Colombo, S McGinty, D Green",TBA,2,M1,0,Courses
,cl195,Joint Research Workshop II,<tr><td><div>1</div></td><td><div></div></td></tr>,607,,,,Joint Research Workshop II,Seminar,,,K Ono,Yes,,Fall,leading satellite room,,,,"D Yokomizo, Y Matsuura",Thursday 14:45-16:15,2,M2,0,Courses
,cl196,Joint Research Seminar III,,608,,,,Joint Research Workshop III,Seminar,,,K Ono,Yes,,Spring,unfixed,,,,"D Yokomizo, Y Matsuura",TBA,2,M2,0,Courses
,cl193,Seminar in International Law and Politics I,"<tr><td><div>1</div></td><td><div>

Intership proposal

</div></td></tr>

<tr><td><div>2</div></td><td><div>

Internship records

</div></td></tr>

<tr><td><div>3</div></td><td><div>

Tentative report

</div></td></tr>

<tr><td><div>4</div></td><td><div>

Final report

</div></td></tr>

<tr><td><div>5</div></td><td><div>

Presentation

</div></td></tr>",609,,"<p>Student performace is assessed based upon the following elements.</p>
<ol>
<li>
<p>Proposal of the Internship</p>
</li>
<li>
<p>Internship reports (report documents)</p>
</li>
<li>
<p>Presentation on the internship</p>
</li>
<li>
<p>Review report from the institution where the student conducts the internship.</p>
</li>
</ol>",,Seminar in International Law and Politics I,Seminar,,,,Yes,"<p>This is the internship program for students. Each student will develop a plan of the overseas internship and/or the domestic intership in cooperation with the supervisor and the program coordinator. </p>
<p>The internship will take place mainly during the summer months and each student will experience some aspects of cross-border institutional design.  In addition, students can have an intensive traning of on Asian language and conduct a research relevant to their joint work and individual research.</p>",Spring,,,,,,TBA,4,M1,0,Courses
,cl197,Seminar in International Law and Politics II,,610,,,,Seminar in International Law and Politics II,Seminar,,,,Yes,,Spring,,,,,,TBA,4,M2,0,Courses
,cl198,Special Research I,,611,,,,Special Research I,Research Instruction,,,Tutorial,Yes,,1 2,unfixed,,,,,TBA,4,M1,0,Courses
,cl199,Special Research II,,612,,,,Special Research II,Research Instruction,,,Tutorial,Yes,,2 1,unfixed,,,,,TBA,4,M2,0,Courses
"<p>Course Materials/Supplementaries </p>
<p>National Diet Library's online exhibition ""Birth of the Constitution of Japan"", available at: http://www.ndl.go.jp/constitution/e/index.html</p>
<p>KOSEKI Shoichi (translated by Ray A. MOORE), The Birth of Japan's Postwar Constitution [1989] (Westview, 1997)</p>
<p>MORRE R., &amp; ROBINSON, D. L., Partners for Democracy (Oxford, 2002)</p>
<p>US Department of States, Occupation of Japan; Policy &amp; Progress (1946)[reprinted in 2004 by UP of the Pacific]</p>",cl200,Legal Transformation in Japan during the Early Period of the Allied Occupation,,613,,"<p>Assessment </p>
<p>Performance in the course of classes (30%)</p>
<p>Discussion in the session for presentations by students (30%)</p>
<p>Final papers (40%)</p>",,Special Lecture and Seminar: Legal Transformation in Japan during the Early Period of the Allied Occupation (not offered in 2013),Lecture,"<p>Course Objectives </p>
<p>To look at the process of Post-War Japanese transformation from legal point of view.</p>
<p>To evaluate functions of several pattern of legal thinkings in the context of the above process.</p>
<p>To consider significances of legal theories in public and international law for contemporary practice of legal transformations.</p>","<p>Textbooks </p>
<p>OBATA Kaoru, ""Historical Functions of Monism with Primacy of International Law - A View Based on the Japanese Experience during the Early Period of the Allied Occupation-"", in: Japanese Annual of International Law, No. 49, 2006 (Mar. 2007)</p>",K Obata,Yes,"The Transformation in Japan during the period of the allied occupation (1945-1952) is generally regared as a successful case of institution-transplantation under international control coupled with democratization. To look into this example would be a possibly good start for study in ""cross-border legal institution transplantation"". This lecture focuses on the process of crafting the Constitution of Japan (promulgated in 1946, entered into force in 1947), picking up and examining the represetative legal theories supporting this transformation.",Fall,Leader's satellite,,,,,"from October 20,Mon 16:30-18:00,",1,M2,0,Courses
Copies will be distributed.,cl203,CONSTIUTIONAL LAW,"<tr><td><div>1</div></td><td><div>

Introduction   Definition of Asian Law

</div></td></tr>

<tr><td><div>2</div></td><td><div>

Family Law in East Asia 1  China

</div></td></tr>

<tr><td><div>3</div></td><td><div>

Family Law in East Asia 2 Korean Peninsula

</div></td></tr>

<tr><td><div>4</div></td><td><div>

Family Law in East Asia 3  Japan

</div></td></tr>

<tr><td><div>5</div></td><td><div>

Family Law in South Asia 1 Indigenous legal system and legal pluralism

</div></td></tr>

<tr><td><div>6</div></td><td><div>

Family Law in South Asia 2 Modernization

</div></td></tr>

<tr><td><div>7</div></td><td><div>

Family Law in South East Asia

</div></td></tr>

<tr><td><div>8</div></td><td><div>

Conclusion

</div></td></tr>",614,,"Participation (quality of the preparation, contribution to the discussion) 50%.  Final report (50%).",,Asian Family Law,lecture,"<p>We will first take a general look at traditional Chinese family law and how it spread to surrounding areas including the Korean peninsula and Japan.  We will compare the differences between indigenous Japanese and Korean family law.  Though both received the influence of traditional Chinese family law their laws developed slightly differently due to variances in the cultures of each.  While both countries have modified their own legal systems using first Chinese and later ""modern"" systems from abroad this process did not constitute a total replacement of the older systems with newer, more advanced ones.</p>
<p>Secondly we will discuss issues related to South Asian family law, comparing India, Pakistan, Bangladesh and other surrounding countries.  Religions such as Hinduism and Islam have had a great influence on the Indian subcontinent and religious and customary laws are applied to family issues.  The general legal system that has been transplanted from European countries co-exists in these countries with personal laws and the choice of applicable law is often permitted in family matters.  The big issues to be discussed in these lectures will include whether the European influenced systems of general law should over-ride customary laws, whether family laws should be uniformed, and whether and how ""international standards"" on the protection of human rights should be introduced when they seem to conflict with personal laws.</p>",,H Ito,Yes,"The purpose of this course is to allow students to develop the skills needed to understand foreign legal systems and search for better ways of building appropriate legal systems for different communities using comparative techniques.  This series of lectures focuses mainly on East and South Asia.  Because ""Asia"" is a vast region with a multitude of cultural backgrounds we do not have a clear definition of the term ""Asian law"". Not many universities in the world provide courses on ""Asian law"" at either the undergraduate or graduate level. The term is often used to refer simply to Chinese law, even in Asia, or Indian law as it is in the United Kingdom.  In this course we use East Asia in order to understand contemporary Japanese law more clearly and South Asia in order to gain a better understanding of the reality surrounding the application of religious laws.  During the course of these lectures we will learn how to locate proper sources, a skill that is essential in finding the applicable law and solving conflict of law problems.  An example of this would be finding the conditions necessary for a valid marriage in the case of a mixed marriage.",Fall,Leader's satellite room,"<p>A basic knowledge of Family Law and Private International Law are recommended.</p>
<p>Other Notes:</p>",,,,"Fri 13:00-14:30 . 10,17,31 in October, 7,14,28 in November, 5,12, in December",1,M1 &amp; M 2,0,Courses
"<p>Suggested Readings:</p>
<p>1) J. Langbein, The German Advantage in Civil Procedure 52 U. Chi. L. Rev. 823 (1985), 823-833 and 841-848</p>
<p>2) O.G. Chase, Legal Processes and National Culture, 5 Cardozo J. Int'l &amp; Comp. L. 1 (1997), 1-17</p>
<p>3) B. Hayo - S. Voigt, The Relevance of Judicial Procedure for Economic Growth (2008), available at http://ssrn.com/abstract=1318292</p>
<p>4) J.Q. Whitman, Western Legal Imperialism: Thinking about the Deep Historical Roots, 10 Theoretical Inquiries L. 305 (2009)</p>
<p>5) Chaudry v. Chaudry, 388 A.2d 1000, 1006 (N.J. Super. Ct. App. Div. 1978)</p>
<p>6) ECJ Grand Chamber- decision July 18th 2013 - Joined Cases C‑584/10 P, C‑593/10 P and C‑595/10 P (Kadi II)</p>",cl185,TBA,"<tr><td><div>1</div></td><td><div>

April 14 COURSE INTRODUCTION

</div></td></tr>

<tr><td><div>2</div></td><td><div>

April 15 COMPARING LEGAL SYSTEMS. THE FUNCTIONAL APPROACH

</div></td></tr>

<tr><td><div>3</div></td><td><div>

April 16 COMPARING LEGAL TRADITIONS. THE CULTURAL TURN

</div></td></tr>

<tr><td><div>4</div></td><td><div>

April 17 COMPARING GLOBALLY. LEGAL ORIGINS AND COMPARATIVE LAW & ECONOMICS

</div></td></tr>

<tr><td><div>5</div></td><td><div>

April 18

DEBATING MULTICULTURALISM

</div></td></tr>

<tr><td><div>6</div></td><td><div>

April 22

DEBATING HUMAN RIGHTS

</div></td></tr>

<tr><td><div>7</div></td><td><div>

April 24

FROM INTERNATIONAL LAW TO GLOBAL ADMINISTRATIVE LAW

</div></td></tr>",651,,"<p>Students are required to select a topic not otherwise discussed during the course and provide an analysis of this topic, deploying comparative methodologies and approaches studied in class. The objective is to demonstrate ability to engage in comparative analysis.</p>
<p>The paper must be approximately 10 double spaced pages (12 point size, times new roman font, traditional margin settings; single spaced footnotes, 10 point size font).</p>
<p>There are no restrictions on materials that may be used. However, it is not allowed to consult with any other person while working on the exam.</p>
<p>The final grade will be based on final exam and class participation.</p>",,On-Demand Seminar ( Comparative law in the age of globalization),Seminar,,"The files of a few readings (one for each class) can be found in the ""Material"" part of each session as assignment. They are elective, so  the students can freely decide to read only if interested in deepening those issues. The first 3 readings are all related to procedure and are meant to show how to apply comparative methodologies studied in each class to a given topic. The last three reading (4-6) are connected to topics discussed in class.",Prof. Guido Smorto,Yes,"<p>The purpose of this course is to explore the main methodological traditions and their practical implications in comparing different legal institutions in a globalized world.</p>
<p>The first session (lectures 1-3) will consist in a theoretical inquiry in traditional, as well as innovative, comparative law methods. We will study how to compare and how to apply these methods to the most controversial topics in the current legal debate.</p>
<p>In the second session (lectures 4-6) we will turn our attention to globalization, an area where comparative law is essential in the understanding of many contemporary relevant phenomena.</p>",,Leading Satellite room,"<p>There is no substantive knowledge requirement for taking the course. Basic understanding of the classification of legal families can be of help.</p>
<p>Class participation is strongly encouraged. The course works at its best with a lively class discussion, in which the whole class takes part. It is not important to be active, but rather present and thoughtful.</p>",,,Prof. Yokomizo,"April 14 - 24, Mon 13:00-14:30, Tue 10:30 - 12:00, Wed 13:00 - 14:30, Thu 10:30 - 12:00, Fri 10:30 -12:00, Tue 10:30- 12:00, Thu 10:30 - 12:00",1,M1 &amp; M2,0,Courses
"<p>Suggested readings:</p>
<p>1.Cammack and Feener, 'The Islamic Legal System in Indonesia', Pacific    Rim Law and Policy Journal, Vo. 21: 1, 2012.</p>
<p>2.Sumner and Lindsey, 'Courting Reform: Indonesia's Islamic Court and Justice for the Poor', Lowy Institute for International Policy, 2010.</p>
<p>3.Nurlaelawati, 'Indonesian Muslim Women at Court: Reform, Strategies and Pronouncement of Divorce', Journal of Islamic Law and Society, Leiden: Brill, June, Vol. 20: 3, 2013.</p>
<p>4.Nurlaelawati, ' Gendering Islamic Judiciary: Female Judges at the  Religious Courts of Indonesia' </p>
<p>(with Arskal Salim), International Journal of Al Jamiah, December 2013</p>
<p>5.Nurlaelawati, Modernization, Tradition, and Identity: The Kompilasi Hukum Islam and Legal Practice in the Indonesian Religious Courts, The Netherlands: ICAS/Amsterdam University Press, January 2010.</p>
<p>6.Nurlaelawati, The Training, Appointment and Supervision of Islamic  Judges in Indonesia, Pacific Rim Law and Policy Journal, Vol. 21, No. 1, 2012.</p>
<p>7.Nurlaelawati, Sharia'a-based Laws in Indonesia', in Kees van Dijk, IRP  Research Report, 2013.</p>
<p>8.Simon Butt, Islam, the State and Constitutional Court, Pacific Rim Law   and Policy Journal, Vo. 19:2, 2010.</p>
<p>9.Bowen, Fairness and Law (chapter nine)</p>",cl183,SEMINAR,"<tr><td><div>1</div></td><td><div>

15 May, Introduction to Indonesia's legal system

</div></td></tr>

<tr><td><div>2</div></td><td><div>

16 May, Management, administration and judges' educational training and recruitment at courts, Islamic court in particular

</div></td></tr>

<tr><td><div>3</div></td><td><div>

19 May,  Islamic court: development of institutions and procedural and substantial laws

</div></td></tr>

<tr><td><div>4</div></td><td><div>

20 May, Procedural law at and products of Islamic courts: filing, hearing, and forms of decisions 

</div></td></tr>

<tr><td><div>5</div></td><td><div>

21 May,  Legal references of Islamic courts: Law No. 1/1974 on Marriage, Kompilasi Hukum Islam and other governmental regulations

</div></td></tr>

<tr><td><div>6</div></td><td><div>

22 May, Legal practices at Islamic courts: reforms and Judges' legal considerations with special reference to women issues

</div></td></tr>

<tr><td><div>7</div></td><td><div>

22 May, Legal attempts: appeals, cassations, and judicial reviews (popular cases of Machicha, Halimah and Isna on legal status of children, divorce and polygamy)

</div></td></tr>

<tr><td><div>8</div></td><td><div>

23 May, Amendments and proposal for future legal developments: legal draft on the amendment of UU No. 1/1974 and on KHI

</div></td></tr>",652,,"<p>Students are required to write a paper of 10 doubled spaced pages summarizing the course subjects and a paper of 3 doubled spaced pages analyzing the legal rule and practice of Indonesian Islamic court.</p>
<p>Final grade will be based on the two papers written and class participation.</p>",,On-Demand Seminar (Women and Islamic Justice in Indonesia),Seminar,"This course is to give understanding for attendant of Indonesia's legal system, Islamic court in particular. It explores the establishment of Islamic courts and their development of their institutions and legal sources, both procedural and substantial. It explores profiles of their judges, legal products and practices, and debates of future legal reforms.","The references are the files on books and papers (attached). The book with the title of 'Modernization…' is basically related to all course outlines except for the last course. The paper of Cammack is relevant to the first and second sessions of course, and the paper of Nurlaelawati on 'supervision' is the reference for the second course. The paper on 'Indonesian women…' and 'courting reform' are the references for the sixth session, and the paper on 'Shari'a-based Law….' In a book on 'Democracy' is the reference for the seventh and the eighth session.",Dr. Euis Nurlaelawati,Yes,"The first two sessions of course discuss judicial domains and sources of law in Indonesia in general, management and supervision of all domains of judiciary. The remaining sessions, 3rd to eighth are devoted to discuss Islamic judiciary referring to Islamic courts to explore their supervision, administration, legal rules and judges' profiles and their legal practices.",,leading satellite,"There is no specific requirement of substantive knowledge for taking this course. However, basic knowledge of legal system applied in the modern nation is recommended.",,,,"May 15 - 23, Thu 10:30-12:00, Fri 10:30-12:00, Mon 10:30-12:00, Tue 10:30-12:00, Wed 10:30-12:00, Thu 10:30-12:00, 13:00-14:30, Fri 10:30-12:00",1,M1 &amp; M2,0,Courses
,cl202,TBA,"<tr><td><div>1</div></td><td><div>

1. Introduction

</div></td></tr>

<tr><td><div>2</div></td><td><div>

2. Australian Constitutional Arrangements

</div></td></tr>

<tr><td><div>3</div></td><td><div>

3. Australian Parliamentary System

</div></td></tr>

<tr><td><div>4</div></td><td><div>

4.  The Role of Parliamentary Drafting

</div></td></tr>

<tr><td><div>5</div></td><td><div>

5. Statutory Interpretation

</div></td></tr>

<tr><td><div>6</div></td><td><div>

6. Statutory Interpretation (Cont).

</div></td></tr>

<tr><td><div>7</div></td><td><div>

7. Drafting

</div></td></tr>

<tr><td><div>8</div></td><td><div>

8. Drafting and Conclusions

</div></td></tr>

<tr><td><div>9</div></td><td><div>

Submission of the seminar paper

</div></td></tr>",653,,,,On-Demand Seminar (Legislative Drafting - Theory and Practice),Lecture,,,John Williams,Yes,"<p>Rule of law remains a fundamental element of any functioning democracy. The clear expression of the will of the parliament that is binding upon all is a hallmark of a functioning society.</p>
<p>The drafting process is a key aspect in the machinery of government. The parliamentary system provides the means of accountability of the government. Yet, it also serves an important role in transforming the policy developed by the political actors into legislation for the polity. Legislative drafting is central to the process of taking policy to legislation. Moreover, the importance of clear and concise drafting serves a number of functions. It provides clarity for citizens who must comply with the law and guidance for the judiciary who may be required to construe it. </p>
<p>In this introductory course, students will explore the relationship between parliament and the legislative drafting. Using the Australian federal system as the example students will consider the constitutional and parliamentary arrangements though which legislation is enacted. Issues such as the elements of drafting, plain meaning and statutory interpretation will be considered.</p>",,Leading satellite room,,,,,"June 16-23, Monday 13:00-14:30, Tue 10:30-14:30, Thu 10:30-14:30, Fri 10:30-12:00, Mon 10:30-14:30",1,M1 &amp; M2,0,Courses
,cl184,SEMINAR,"<tr><td><div>1</div></td><td><div>

July 7

</div></td></tr>

<tr><td><div>2</div></td><td><div>

July 8

</div></td></tr>

<tr><td><div>3</div></td><td><div>

July 9

</div></td></tr>

<tr><td><div>4</div></td><td><div>

July 10

</div></td></tr>

<tr><td><div>5</div></td><td><div>

July 14

</div></td></tr>

<tr><td><div>6</div></td><td><div>

July 15

</div></td></tr>

<tr><td><div>7</div></td><td><div>

July 16

</div></td></tr>

<tr><td><div>8</div></td><td><div>

July 17

</div></td></tr>",654,,,,On-Demand Seminar (Social Change and Legislation of Korea),Seminar,,,"HONG, Wan Sik",Yes,"<p>The course focuses on some important aspects of the practice of legislation in Korea. Prof. Hong will discuss both theory and practice of legislation, referring to some important legislation in Korea. The course covers the following topics.</p>
<ol>
<li>
<p>Legal System and Legislation Process of Korea</p>
</li>
<li>
<p>Legislation and Court Decision about the Corporal Punishment in School</p>
</li>
<li>
<p>Movement to the Legislation for the Death with Dignity Act</p>
</li>
<li>
<p>LGBT (Lesbian, Gay, Bisexual, and Transgender) and Legislation</p>
</li>
<li>
<p>Information Technology (IT) and Legislation</p>
</li>
<li>
<p>Bio Technology (BT) and Legislation</p>
</li>
<li>
<p>Sexual Offender Law</p>
</li>
<li>
<p>Controversy of Pro-life vs. Pro-choice and Legislation</p>
</li>
</ol>",,Leader's satellite,,,,,"From July 7-17, Mon 10:30-12:00,Tue 10:30-12:00, Wed 10:30-12:00, Thu 10:30-12:00, Mon 10:30-12:00, Tue 10:30-12:00, Wed 10:30-12:00, Thu 10:30-12:00",1,M1 &amp; M2,0,Courses
"I would like our classes to be as interactive as possible. I will present some material and provide a structure for the discussion, which I hope will allow us to learn from one another and to bring our own experience to the conversation. I welcome any questions or comments that you might have at any time during the class, and I will also pose questions and seek input from class members.",cl182,SEMINAR,"<tr><td><div>1</div></td><td><div>

Legal Aspects of the World Bank's Operations

</div></td></tr>

<tr><td><div>2</div></td><td><div>

The Role of Law and Justice in Development

</div></td></tr>

<tr><td><div>3</div></td><td><div>

History of Justice and Rule of Law in Development

</div></td></tr>

<tr><td><div>4</div></td><td><div>

The Elements of Rule of Law and Justice Reform

</div></td></tr>

<tr><td><div>5</div></td><td><div>

The World Bank and Justice Sector Reform

</div></td></tr>

<tr><td><div>6</div></td><td><div>

Case Studies of World Bank Justice Reform Initiatives

</div></td></tr>

<tr><td><div>7</div></td><td><div>

Conclusion, Practical Exercise and Evaluation

</div></td></tr>",655,,"On the last day of classes, we will have a practical exercise on a development project involving a government, a coalition of civil society organizations (representing the people) and international donors. Students will be accordingly divided into three groups and will make representations on behalf of their negotiating party. I will give class evaluations and feedback after the class to round up the course.",,"On-Demand Seminar (LAW, JUSTICE AND DEVELOPMENT)",Seminar,"<p>By the end of the course, students will have an appreciation of the role of law and justice in the context of development in the 21st century. Students will also gain an understanding of the World Bank, its mandate, and development activities following that mandate. They will learn about the intricacies of justice reform, the elements of planning and implementing a justice reform project and the different interests and considerations that come into play.</p>
<p>This course is certainly not an exhaustive treatment of the topics, but it is hoped that from this course, students will be inspired to engage in law, justice and development scholarship, and discover and explore interests and careers in the development field.   I have been a practitioner in the field of justice and rule of law reform in both the World Bank and the Inter-American Development Bank for many years, and will seek to give students an overview of the field of justice in international development; an understanding of some of the methodologies used to analyze justice issues and institutions; and a review of some of the most important current developments and challenges in the field of rule of law and justice reform.</p>","In order to properly follow and fully benefit from class discussions, students are encouraged to read the assigned materials before each class. You are strongly encouraged to read all ""primary reading materials"" and if you have time, skim through the ""supplementary materials.""  Where relevant and helpful, I may provide references to other materials you may wish to study.",Chirstina Biebesheimer,Yes,"<p>Focusing on the World Bank and its activities, this course studies the relationship between law, justice and development. Efforts to use law as a tool to promote development through a justice lens will be at the core of our discussions. In the last two decades especially, international organizations, states, aid agencies, academics, and local and international non-governmental organizations have become commendably active and committed to mainstreaming law and justice into the development agenda. </p>
<p>The conceptions of development that underlie national and international actions are diverse, having economic, social, and political dimensions. We will take an expansive view of law and justice, recognizing that in many contexts, they also border on political, cultural and socio-economic issues. Putting these into perspective, we will analyze how development practitioners have tried to devise innovative and creative ways to keep up with the changing and expanding needs of today's world and the different initiatives that back these efforts. </p>
<p>As an international financial institution with a development mandate, the World Bank has been involved in a great deal of these efforts―as an institution and, sometimes, in partnership with other institutions. We will take a critical look at some of the World Bank's development initiatives, especially in the area of justice reform. We will also look at case studies of a few projects, focusing on the policies and procedures of the Bank, the project cycle, and development approaches. In doing these, we will examine successes and failures, challenges faced and lessons learned, as well as current trends and prospects for the future for both the Bank and the development field in general. The course will wind up with a practical exercise involving a justice reform project in a fragile state. Students will have the opportunity to consider the dynamics of justice reform and the interests and considerations underlying investment  decisions and development efforts.</p>",,Leading Satellite,,,,,"16-19 September , 10:30-14:30",1,M1 &amp;M2,0,Courses
